date,product,demand_units,unit_price,unit_cost,stock_on_hand,region,channel,revenue,total_cost,profit,month_start,year,month,month_name,day_of_week,week_of_year
2024-06-21,Smart Speaker,18,71.31,42.97,77,North,Online,1283.58,773.46,510.1199999999999,2024-06-01,2024,6,Jun,Friday,25
2024-06-21,Wireless Headphones,18,89.4,51.0,71,West,Retail,1609.2,918.0,691.2,2024-06-01,2024,6,Jun,Friday,25
2024-06-21,Office Chair,13,159.22,92.66,54,East,Retail,2069.86,1204.58,865.2800000000002,2024-06-01,2024,6,Jun,Friday,25
2024-06-21,Gaming Mouse,23,42.54,23.45,117,South,Retail,978.42,539.35,439.06999999999994,2024-06-01,2024,6,Jun,Friday,25
2024-06-21,LED Monitor,14,193.28,119.19,41,East,Wholesale,2705.92,1668.6599999999999,1037.2600000000002,2024-06-01,2024,6,Jun,Friday,25
2024-06-21,Laptop Stand,20,36.67,21.67,78,East,Wholesale,733.4000000000001,433.40000000000003,300.00000000000006,2024-06-01,2024,6,Jun,Friday,25
2024-06-21,Mechanical Keyboard,27,94.63,53.43,37,North,Retail,2555.0099999999998,1442.61,1112.3999999999999,2024-06-01,2024,6,Jun,Friday,25
2024-06-21,Webcam,19,57.77,32.05,29,East,Wholesale,1097.63,608.9499999999999,488.6800000000002,2024-06-01,2024,6,Jun,Friday,25
2024-06-22,Webcam,17,57.13,33.41,58,South,Retail,971.21,567.9699999999999,403.2400000000001,2024-06-01,2024,6,Jun,Saturday,25
2024-06-22,Mechanical Keyboard,14,92.19,50.93,70,West,Online,1290.6599999999999,713.02,577.6399999999999,2024-06-01,2024,6,Jun,Saturday,25
2024-06-22,Laptop Stand,23,35.56,20.13,87,South,Retail,817.8800000000001,462.98999999999995,354.89000000000016,2024-06-01,2024,6,Jun,Saturday,25
2024-06-22,LED Monitor,9,195.68,114.45,54,North,Retail,1761.1200000000001,1030.05,731.0700000000002,2024-06-01,2024,6,Jun,Saturday,25
2024-06-22,Wireless Headphones,23,91.71,53.81,89,West,Online,2109.33,1237.63,871.6999999999998,2024-06-01,2024,6,Jun,Saturday,25
2024-06-22,Office Chair,11,158.42,84.96,29,East,Retail,1742.62,934.56,808.06,2024-06-01,2024,6,Jun,Saturday,25
2024-06-22,Smart Speaker,19,75.41,42.23,56,West,Retail,1432.79,802.3699999999999,630.4200000000001,2024-06-01,2024,6,Jun,Saturday,25
2024-06-22,Gaming Mouse,23,41.6,25.99,47,East,Retail,956.8000000000001,597.77,359.0300000000001,2024-06-01,2024,6,Jun,Saturday,25
2024-06-23,Mechanical Keyboard,20,96.8,54.42,18,North,Wholesale,1936.0,1088.4,847.5999999999999,2024-06-01,2024,6,Jun,Sunday,25
2024-06-23,Webcam,13,58.47,33.95,80,North,Retail,760.11,441.35,318.76,2024-06-01,2024,6,Jun,Sunday,25
2024-06-23,LED Monitor,13,207.0,117.85,58,West,Retail,2691.0,1532.05,1158.95,2024-06-01,2024,6,Jun,Sunday,25
2024-06-23,Laptop Stand,20,34.8,19.83,88,East,Online,696.0,396.59999999999997,299.40000000000003,2024-06-01,2024,6,Jun,Sunday,25
2024-06-23,Office Chair,12,154.47,87.63,33,East,Retail,1853.6399999999999,1051.56,802.0799999999999,2024-06-01,2024,6,Jun,Sunday,25
2024-06-23,Gaming Mouse,19,40.06,22.04,95,South,Wholesale,761.1400000000001,418.76,342.3800000000001,2024-06-01,2024,6,Jun,Sunday,25
2024-06-23,Wireless Headphones,25,87.54,50.81,84,South,Wholesale,2188.5,1270.25,918.25,2024-06-01,2024,6,Jun,Sunday,25
2024-06-23,Smart Speaker,18,72.29,41.14,42,West,Wholesale,1301.22,740.52,560.7,2024-06-01,2024,6,Jun,Sunday,25
2024-06-24,Mechanical Keyboard,19,92.52,49.01,47,North,Online,1757.8799999999999,931.1899999999999,826.6899999999999,2024-06-01,2024,6,Jun,Monday,26
2024-06-24,Laptop Stand,20,35.23,20.28,100,North,Wholesale,704.5999999999999,405.6,298.9999999999999,2024-06-01,2024,6,Jun,Monday,26
2024-06-24,LED Monitor,16,191.14,98.64,51,West,Online,3058.24,1578.24,1479.9999999999998,2024-06-01,2024,6,Jun,Monday,26
2024-06-24,Webcam,17,61.59,35.96,71,East,Wholesale,1047.03,611.32,435.7099999999999,2024-06-01,2024,6,Jun,Monday,26
2024-06-24,Office Chair,11,147.53,88.38,32,North,Wholesale,1622.83,972.18,650.65,2024-06-01,2024,6,Jun,Monday,26
2024-06-24,Wireless Headphones,26,93.56,50.93,51,South,Wholesale,2432.56,1324.18,1108.3799999999999,2024-06-01,2024,6,Jun,Monday,26
2024-06-24,Smart Speaker,14,74.46,43.68,90,North,Online,1042.4399999999998,611.52,430.91999999999985,2024-06-01,2024,6,Jun,Monday,26
2024-06-24,Gaming Mouse,23,42.46,25.69,165,East,Retail,976.58,590.87,385.71000000000004,2024-06-01,2024,6,Jun,Monday,26
2024-06-25,Smart Speaker,15,71.5,39.91,116,South,Wholesale,1072.5,598.65,473.85,2024-06-01,2024,6,Jun,Tuesday,26
2024-06-25,Wireless Headphones,29,86.19,52.4,91,East,Retail,2499.5099999999998,1519.6,979.9099999999999,2024-06-01,2024,6,Jun,Tuesday,26
2024-06-25,Office Chair,12,151.45,89.87,30,South,Retail,1817.3999999999999,1078.44,738.9599999999998,2024-06-01,2024,6,Jun,Tuesday,26
2024-06-25,Gaming Mouse,23,42.25,26.51,97,North,Wholesale,971.75,609.73,362.02,2024-06-01,2024,6,Jun,Tuesday,26
2024-06-25,LED Monitor,17,207.05,121.45,39,South,Retail,3519.8500000000004,2064.65,1455.2000000000003,2024-06-01,2024,6,Jun,Tuesday,26
2024-06-25,Laptop Stand,25,37.94,22.21,30,West,Online,948.5,555.25,393.25,2024-06-01,2024,6,Jun,Tuesday,26
2024-06-25,Mechanical Keyboard,28,101.79,58.49,53,South,Retail,2850.1200000000003,1637.72,1212.4000000000003,2024-06-01,2024,6,Jun,Tuesday,26
2024-06-25,Webcam,13,56.18,33.67,42,South,Retail,730.34,437.71000000000004,292.63,2024-06-01,2024,6,Jun,Tuesday,26
2024-06-26,Mechanical Keyboard,29,93.13,53.21,20,East,Wholesale,2700.77,1543.09,1157.68,2024-06-01,2024,6,Jun,Wednesday,26
2024-06-26,Webcam,18,60.45,33.74,36,South,Online,1088.1000000000001,607.32,480.7800000000001,2024-06-01,2024,6,Jun,Wednesday,26
2024-06-26,LED Monitor,20,196.93,110.11,44,East,Retail,3938.6000000000004,2202.2,1736.4000000000005,2024-06-01,2024,6,Jun,Wednesday,26
2024-06-26,Laptop Stand,24,34.63,20.18,79,North,Wholesale,831.1200000000001,484.32,346.8000000000001,2024-06-01,2024,6,Jun,Wednesday,26
2024-06-26,Office Chair,12,159.97,86.42,39,South,Online,1919.6399999999999,1037.04,882.5999999999999,2024-06-01,2024,6,Jun,Wednesday,26
2024-06-26,Smart Speaker,19,74.87,46.59,61,North,Wholesale,1422.5300000000002,885.21,537.3200000000002,2024-06-01,2024,6,Jun,Wednesday,26
2024-06-26,Gaming Mouse,33,41.29,23.54,134,East,Retail,1362.57,776.8199999999999,585.75,2024-06-01,2024,6,Jun,Wednesday,26
2024-06-26,Wireless Headphones,16,88.85,49.29,33,South,Online,1421.6,788.64,632.9599999999999,2024-06-01,2024,6,Jun,Wednesday,26
2024-06-27,Webcam,16,62.25,39.04,59,South,Online,996.0,624.64,371.36,2024-06-01,2024,6,Jun,Thursday,26
2024-06-27,Smart Speaker,18,71.25,40.19,33,North,Retail,1282.5,723.42,559.08,2024-06-01,2024,6,Jun,Thursday,26
2024-06-27,Wireless Headphones,17,84.43,54.36,30,West,Wholesale,1435.3100000000002,924.12,511.19000000000017,2024-06-01,2024,6,Jun,Thursday,26
2024-06-27,Office Chair,16,170.76,93.04,31,South,Online,2732.16,1488.64,1243.5199999999998,2024-06-01,2024,6,Jun,Thursday,26
2024-06-27,Gaming Mouse,38,40.55,23.22,119,East,Online,1540.8999999999999,882.3599999999999,658.54,2024-06-01,2024,6,Jun,Thursday,26
2024-06-27,LED Monitor,14,197.07,106.17,41,East,Online,2758.98,1486.38,1272.6,2024-06-01,2024,6,Jun,Thursday,26
2024-06-27,Laptop Stand,23,35.3,20.97,101,West,Retail,811.9,482.30999999999995,329.59000000000003,2024-06-01,2024,6,Jun,Thursday,26
2024-06-27,Mechanical Keyboard,22,96.18,55.78,41,East,Online,2115.96,1227.16,888.8,2024-06-01,2024,6,Jun,Thursday,26
2024-06-28,Webcam,20,58.89,35.62,40,West,Retail,1177.8,712.4,465.4,2024-06-01,2024,6,Jun,Friday,26
