date,product,quantity,unit_price,unit_cost,stock,region,channel
2024-06-21,Smart Speaker,18,71.31,42.97,77,North,Online
2024-06-21,Wireless Headphones,18,89.4,51.0,71,West,Retail
2024-06-21,Office Chair,13,159.22,92.66,54,East,Retail
2024-06-21,Gaming Mouse,23,42.54,23.45,117,South,Retail
2024-06-21,LED Monitor,14,193.28,119.19,41,East,Wholesale
2024-06-21,Laptop Stand,20,36.67,21.67,78,East,Wholesale
2024-06-21,Mechanical Keyboard,27,94.63,53.43,37,North,Retail
2024-06-21,Webcam,19,57.77,32.05,29,East,Wholesale
2024-06-22,Smart Speaker,19,75.41,42.23,56,West,Retail
2024-06-22,Wireless Headphones,23,91.71,53.81,89,West,Online
2024-06-22,Office Chair,11,158.42,84.96,29,East,Retail
2024-06-22,Gaming Mouse,23,41.6,25.99,47,East,Retail
2024-06-22,LED Monitor,9,195.68,114.45,54,North,Retail
2024-06-22,Laptop Stand,23,35.56,20.13,87,South,Retail
2024-06-22,Mechanical Keyboard,14,92.19,50.93,70,West,Online
2024-06-22,Webcam,17,57.13,33.41,58,South,Retail
2024-06-23,Smart Speaker,18,72.29,41.14,42,West,Wholesale
2024-06-23,Wireless Headphones,25,87.54,50.81,84,South,Wholesale
2024-06-23,Office Chair,12,154.47,87.63,33,East,Retail
2024-06-23,Gaming Mouse,19,40.06,22.04,95,South,Wholesale
2024-06-23,LED Monitor,13,207.0,117.85,58,West,Retail
2024-06-23,Laptop Stand,20,34.8,19.83,88,East,Online
2024-06-23,Mechanical Keyboard,20,96.8,54.42,18,North,Wholesale
2024-06-23,Webcam,13,58.47,33.95,80,North,Retail
2024-06-24,Smart Speaker,14,74.46,43.68,90,North,Online
2024-06-24,Wireless Headphones,26,93.56,50.93,51,South,Wholesale
2024-06-24,Office Chair,11,147.53,88.38,32,North,Wholesale
2024-06-24,Gaming Mouse,23,42.46,25.69,165,East,Retail
2024-06-24,LED Monitor,16,191.14,98.64,51,West,Online
2024-06-24,Laptop Stand,20,35.23,20.28,100,North,Wholesale
2024-06-24,Mechanical Keyboard,19,92.52,49.01,47,North,Online
2024-06-24,Webcam,17,61.59,35.96,71,East,Wholesale
2024-06-25,Smart Speaker,15,71.5,39.91,116,South,Wholesale
2024-06-25,Wireless Headphones,29,86.19,52.4,91,East,Retail
2024-06-25,Office Chair,12,151.45,89.87,30,South,Retail
2024-06-25,Gaming Mouse,23,42.25,26.51,97,North,Wholesale
2024-06-25,LED Monitor,17,207.05,121.45,39,South,Retail
2024-06-25,Laptop Stand,25,37.94,22.21,30,West,Online
2024-06-25,Mechanical Keyboard,28,101.79,58.49,53,South,Retail
2024-06-25,Webcam,13,56.18,33.67,42,South,Retail
2024-06-26,Smart Speaker,19,74.87,46.59,61,North,Wholesale
2024-06-26,Wireless Headphones,16,88.85,49.29,33,South,Online
2024-06-26,Office Chair,12,159.97,86.42,39,South,Online
2024-06-26,Gaming Mouse,33,41.29,23.54,134,East,Retail
2024-06-26,LED Monitor,20,196.93,110.11,44,East,Retail
2024-06-26,Laptop Stand,24,34.63,20.18,79,North,Wholesale
2024-06-26,Mechanical Keyboard,29,93.13,53.21,20,East,Wholesale
2024-06-26,Webcam,18,60.45,33.74,36,South,Online
2024-06-27,Smart Speaker,18,71.25,40.19,33,North,Retail
2024-06-27,Wireless Headphones,17,84.43,54.36,30,West,Wholesale
2024-06-27,Office Chair,16,170.76,93.04,31,South,Online
2024-06-27,Gaming Mouse,38,40.55,23.22,119,East,Online
2024-06-27,LED Monitor,14,197.07,106.17,41,East,Online
2024-06-27,Laptop Stand,23,35.3,20.97,101,West,Retail
2024-06-27,Mechanical Keyboard,22,96.18,55.78,41,East,Online
2024-06-27,Webcam,16,62.25,39.04,59,South,Online
2024-06-28,Smart Speaker,14,77.09,45.32,64,East,Online
2024-06-28,Wireless Headphones,27,90.42,49.43,54,East,Wholesale
2024-06-28,Office Chair,11,153.41,88.5,30,South,Retail
